|pm_ra   |pm_dec  |hip_number|vmag |ra_deg      |dec_deg     |bv_color|
|   25.96|    5.02|    104382| 5.45|317.19172547|-88.95651120|   0.283|
|  -88.78|  -80.65|     75736| 6.49|232.08618345|-88.13281448|   0.303|
|  -36.69| -135.22|     92824| 5.29|283.69853501|-87.60551487|   1.304|
|   16.29|   11.48|    115836| 5.50|352.01486122|-87.48224182|   1.278|
|    4.64|    4.20|     32500| 6.46|101.74383218|-87.02497454|   0.429|
|    8.21|    0.00|     83255| 6.05|255.24350817|-86.36429709|   0.043|
|   -4.91|   -6.56|     60638| 6.32|186.40949088|-86.15059684|   1.065|
|  -37.64|   61.25|    111196| 5.76|337.90761619|-85.96740206|   1.020|
|  -87.65|  -21.03|     66753| 5.56|205.23406365|-85.78599228|   0.183|
| -116.27|   33.74|     43908| 5.43|134.17451360|-85.66323432|   0.306|
|  -56.44|    1.55|     58697| 6.05|180.58615049|-85.63176087|   1.290|
|   20.99|   24.32|     17328| 6.40|055.63620779|-85.26202284|  -0.005|
|   -4.48| -144.72|     88274| 6.45|270.39253838|-85.21447624|   0.437|
|   67.47|   22.11|     63031| 5.45|193.74311570|-85.12342237|   0.991|
|   10.97|   17.40|      1074| 5.78|003.33145220|-84.99402068|   1.710|
|   31.31|  -29.78|    106320| 6.42|323.01192811|-84.80999675|   1.405|
|    3.22|    4.03|     74296| 5.88|227.78664063|-84.78782184|  -0.031|
|   -6.84|   44.27|     25776| 6.18|082.55804936|-84.78521152|  -0.003|
|   34.69|   23.45|      7568| 5.66|024.36574940|-84.76965017|   0.939|
|  -64.13|   -8.02|     53702| 6.19|164.80901947|-84.59387348|   0.100|
|  137.01|   96.74|     76996| 5.57|235.81708657|-84.46550807|   0.118|
|   13.15|   -9.13|     90509| 6.49|277.02644303|-84.38723353|  -0.035|
|  -95.79|  -12.91|     70638| 4.31|216.73225313|-83.66785308|   1.300|
|   16.90|  -13.03|     93117| 6.35|284.54178857|-83.42216671|  -0.033|
|   23.65|    7.54|    100697| 6.15|306.22834017|-83.31063455|   0.203|
|   18.65|   53.30|     73540| 5.65|225.46126796|-83.22777573|   0.962|
|  -59.61|   10.24|     56996| 6.32|175.25665440|-83.09996178|   1.080|
|   -8.65|  -17.65|     73771| 5.65|226.19567959|-83.03826851|   1.273|
|  122.30|  120.70|      7601| 5.88|024.47908355|-82.97528876|   0.620|
|  -22.64|  -10.97|     70418| 6.42|216.09240580|-82.84822332|  -0.001|
|   68.15|  -33.03|    107843| 5.27|327.72603561|-82.71882392|   0.756|
|   22.61|   -2.50|    106474| 6.35|323.47696549|-82.68307834|   0.089|
|  -25.06|  -23.27|     68009| 5.95|208.91245413|-82.66613365|   1.411|
|   -5.10|    4.12|     23148| 5.84|074.71244667|-82.47052255|   0.932|
|  -21.66|  -20.39|       814| 5.29|002.50945435|-82.22399743|   1.049|
|  -26.99|   31.11|     49065| 5.53|150.18293561|-82.21474569|   0.035|
|  -26.62|  -25.15|    118114| 5.72|359.38745413|-82.16974335|   1.055|
|  -49.07|  -20.91|    117689| 5.10|358.02789102|-82.01876765|   0.934|
|   14.62|  -16.78|     91723| 6.27|280.55983879|-81.80807287|  -0.104|
|    9.07|  126.08|     20297| 5.78|065.24179812|-81.58022679|   0.359|
|   28.45|  -49.29|     88599| 6.37|271.36143072|-81.48644851|   1.528|
|  -55.35|    0.88|    112405| 4.13|341.51551393|-81.38161731|   0.208|
|   20.03|   -0.71|     98086| 6.39|299.00675249|-81.34983861|   1.402|
|    0.60|  -38.24|    101843| 5.89|309.57752070|-81.28897011|   1.692|
|  -19.95|  -65.39|     69896| 4.89|214.55821047|-81.00760147|   0.243|
|    8.35|  -14.88|    101427| 5.76|308.32338660|-80.96482633|   1.122|
|  -34.61|   14.67|     46928| 5.07|143.47293825|-80.94129374|  -0.139|
| -151.92|  213.07|     41191| 5.67|126.08492509|-80.91471955|   1.018|
|   26.97|  -11.45|    114550| 6.43|348.05179488|-80.91267194|   1.498|
|   -2.27|  -43.34|     85760| 5.83|262.86447140|-80.85902834|   1.617|
|   -5.08|   53.37|     31897| 5.61|100.01211946|-80.81372235|   0.214|
| -138.55|  135.39|     46107| 5.34|141.04053926|-80.78720514|   0.454|
|  -37.33|    6.19|     52633| 4.45|161.44639899|-80.54020283|  -0.188|
|  311.97| 1050.19|     26394| 5.65|084.28663598|-80.47167450|   0.600|
|  -17.40|  -30.30|     52595| 5.46|161.31822960|-80.46952330|   0.957|
|   56.36|  -42.78|    110256| 5.09|335.00616756|-80.43964301|   1.276|
|  -23.34|  -63.39|     90606| 5.95|277.33342045|-80.23255408|   1.173|
|   28.26|   61.02|     20049| 5.67|064.49656949|-80.21418106|   0.836|
|  -71.73|  -58.41|      8366| 6.05|026.94453905|-80.17616913|   0.338|
|   20.14|  -12.76|    112781| 5.32|342.59477516|-80.12381446|  -0.126|
|  -10.89|  -14.13|     70248| 5.06|215.59665420|-80.10891100|  -0.108|
|   -3.19|   15.33|     48320| 6.47|147.75333462|-80.06109591|   0.074|
